id,full_name,email,phone,country,is_ghost_squadron,created_at,updated_at
550e8400-e29b-41d4-a716-446655440000,John Doe,john.doe@example.com,+1-555-0101,United States,true,2025-01-15T10:30:00Z,2025-01-15T10:30:00Z
550e8400-e29b-41d4-a716-446655440001,Jane Smith,jane.smith@example.com,+44-20-7946-0958,United Kingdom,false,2025-01-16T14:22:00Z,2025-01-16T14:22:00Z
550e8400-e29b-41d4-a716-446655440002,Carlos Rodriguez,carlos.r@example.com,+34-91-123-4567,Spain,true,2025-01-17T09:15:00Z,2025-01-17T09:15:00Z
550e8400-e29b-41d4-a716-446655440003,Emma Wilson,emma.wilson@example.com,+61-2-9876-5432,Australia,false,2025-01-18T16:45:00Z,2025-01-18T16:45:00Z
550e8400-e29b-41d4-a716-446655440004,Mohammed Al-Rashid,m.alrashid@example.com,+971-4-123-4567,UAE,true,2025-01-19T11:20:00Z,2025-01-19T11:20:00Z
550e8400-e29b-41d4-a716-446655440005,Sophie Laurent,sophie.l@example.com,+33-1-42-86-82-00,France,false,2025-01-20T13:30:00Z,2025-01-20T13:30:00Z
550e8400-e29b-41d4-a716-446655440006,Yuki Tanaka,yuki.tanaka@example.com,+81-3-1234-5678,Japan,true,2025-01-21T08:00:00Z,2025-01-21T08:00:00Z
550e8400-e29b-41d4-a716-446655440007,Lars Andersson,lars.a@example.com,+46-8-123-456-78,Sweden,false,2025-01-22T15:10:00Z,2025-01-22T15:10:00Z
550e8400-e29b-41d4-a716-446655440008,Isabella Rossi,isabella.rossi@example.com,+39-06-1234-5678,Italy,true,2025-01-23T12:40:00Z,2025-01-23T12:40:00Z
550e8400-e29b-41d4-a716-446655440009,Alexander Petrov,alex.petrov@example.com,+7-495-123-4567,Russia,false,2025-01-24T10:55:00Z,2025-01-24T10:55:00Z
